page_id,page_title,card_id,card_title,chart_type,card_datasets,missing_formula_count,missing_physical_count,total_missing,missing_formulas,missing_physicals,url
193413623,工場アパマンチームのキーエンス指標,102595851,訪問達成率（工場アパマンチーム）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/102595851
193413623,工場アパマンチームのキーエンス指標,1497893800,訪問前MTG実施率（工場アパマンチーム）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/1497893800
193413623,工場アパマンチームのキーエンス指標,952111392,ロープレ達成率（カイゼン）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/952111392
193413623,工場アパマンチームのキーエンス指標,1773965583,追客コール数（カイゼン）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/1773965583
193413623,工場アパマンチームのキーエンス指標,241334926,後MTG実施率（カイゼン）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/241334926
193413623,工場アパマンチームのキーエンス指標,1216150706,結果記入率（工場アパマンチーム）,badge_pivot_table,Zoho統合データ,0,0,0,,,https://astecpaints-co-jp.domo.com/page/193413623/kpis/details/1216150706
213860614,施工店分析,633141134,未完工一覧,badge_basic_table,コラボス＋リペイント,4,11,15,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均） | 集計値の昨対比,60万円以上 | date | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 昨年集計値 | 月別契約件数 | 月別見積件数 | 結果/見積 | 集計値,https://astecpaints-co-jp.domo.com/page/213860614/kpis/details/633141134
213860614,施工店分析,1931412914,契約一覧(見積結果日基準),badge_basic_table,コラボス＋リペイント,4,11,15,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均） | 集計値の昨対比,60万円以上 | date | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 昨年集計値 | 月別契約件数 | 月別見積件数 | 結果/見積 | 集計値,https://astecpaints-co-jp.domo.com/page/213860614/kpis/details/1931412914
213860614,施工店分析,1851405345,平均単価(施工店請負金額),badge_pivot_table,コラボス＋リペイント,4,11,15,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均） | 集計値の昨対比,60万円以上 | date | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 昨年集計値 | 月別契約件数 | 月別見積件数 | 結果/見積 | 集計値,https://astecpaints-co-jp.domo.com/page/213860614/kpis/details/1851405345
213860614,施工店分析,1969287996,商談未確定率（見積提案日基準）,badge_two_trendline,コラボス＋リペイント,4,11,15,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均） | 集計値の昨対比,60万円以上 | date | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 昨年集計値 | 月別契約件数 | 月別見積件数 | 結果/見積 | 集計値,https://astecpaints-co-jp.domo.com/page/213860614/kpis/details/1969287996
