page_id,page_title,card_id,card_title,card_datasets,source_dataset,physical_overlap_pct,source_physical_count,overlap_physical_count,missing_formula_count,missing_physical_count,feasibility,missing_formulas,missing_physicals,non_overlapping_physical_cols
213860614,施工店分析,633141134,未完工一覧,コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,633141134,未完工一覧,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,1931412914,契約一覧(見積結果日基準),コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,1851405345,平均単価(施工店請負金額),コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,1969287996,商談未確定率（見積提案日基準）,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,138189276,月別施工店ごと商談未確定件数(今期),コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,53616018,見積数（見積提案日基準）,コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,53616018,見積数（見積提案日基準）,コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
213860614,施工店分析,710284790,契約数(結果確定日基準),コラボス＋リペイント,コラボス_契約率移動平均用,38.5%,13,5,3,8,LOW - Few shared columns,今日まで | 契約率集計用日付 | 契約率（3ヶ月移動平均）,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積,60万円以上 | 契約率集計用年 | 契約率集計用月 | 平均期間 | 日付軸 | 月別契約件数 | 月別見積件数 | 結果/見積
213860614,施工店分析,710284790,契約数(結果確定日基準),コラボス＋リペイント,コラボス＋リペイント（昨対集計用）,57.1%,7,4,1,3,MEDIUM - Partial overlap,集計値の昨対比,date | 昨年集計値 | 集計値,date | 昨年集計値 | 集計値
